Source,Target,Weight,Distancia,Duracao,,
"ACOPIARA, CE",HOSPITAL REGIONAL DE IGUATU,1,37.30,0.62,,
"ACOPIARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,354.00,4.95,,
"ACOPIARA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,355.00,5.2,,
"ACOPIARA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,353.00,5.1,,
"ACOPIARA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,199.00,3.3,,
"ACOPIARA, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,353.00,5.1,,
"ACOPIARA, CE",HOSPITAL MUNICIPAL DE ACOPIARA PADRE CRISARES SAMPAIO COUTO,1,0.70,0.05,,
"AQUIRAZ, CE",HOSP GERAL MANUEL ASSUNCAO PIRES,1,0.50,0.03,,
"AQUIRAZ, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,23.50,0.45,,
"AQUIRAZ, CE",HOSPITAL HAROLDO JUACABA,1,32.30,0.8,,
"AQUIRAZ, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,31.70,0.77,,
"AQUIRAZ, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,31.10,0.8,,
"AQUIRAZ, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,36.30,0.97,,
"AQUIRAZ, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,36.20,0.97,,
"AQUIRAZ, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,26.10,0.65,,
"CANINDE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,131.00,1.82,,
"CANINDE, CE",HOSPITAL HAROLDO JUACABA,1,115.00,1.7,,
"CANINDE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,117.00,1.8,,
"CANINDE, CE",HOSPITAL JOSE MARIA PHILOMENO GOMES,1,136.00,2.17,,
"CAUCAIA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,36.50,0.67,,
"CAUCAIA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,18.70,0.52,,
"CAUCAIA, CE",HOSP MUN ABELARDO GADELHA DA ROCHA,1,2.70,0.13,,
"CAUCAIA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,25.90,0.8,,
"CAUCAIA, CE",HOSPITAL HAROLDO JUACABA,1,15.90,0.43,,
"CAUCAIA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,16.30,0.43,,
"CAUCAIA, CE",H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,1,17.20,0.5,,
"CAUCAIA, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,3,38.80,0.73,,
"CAUCAIA, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,14.70,0.35,,
"FORTALEZA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,6.50,0.3,,
"FORTALEZA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,1.30,0.08,,
