CNES,NOMEFANT
0000027,CASA DE SAUDE SANTA HELENA
0000035,HOSPITAL MENDO SAMPAIO
0000094,MATERNIDADE PADRE GERALDO LEITE BASTOS
0000396,HOSPITAL DAS CLINICAS
0000418,HOSPITAL AGAMENON MAGALHAES
0000426,HOSPITAL OTAVIO DE FREITAS
0000434,IMIP
0000477,HOSPITAL OSWALDO CRUZ
0000485,FUNDACAO ALTINO VENTURA
0000531,US 159 POLICLINICA AGAMENON MAGALHAES
0000566,HOSPITAL MARIA LUCINDA
0000582,HOSPITAL DE CANCER DE PERNAMBUCO
0000604,US 169 POLICLINICA AMAURY COUTINHO
0000655,HOSPITAL DA RESTAURACAO
0000671,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES
0000701,US 165 MATERNIDADE BANDEIRA FILHO
0000809,FUNDACAO HEMOPE
0000930,US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAMA
0000981,HOSPITAL CORREIA PICANCO
0001015,US 163 HOSPITAL DE PEDIATRIA HELENA MOURA
0001120,REAL HOSPITAL PORTUGUES
0001546,HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO
0001570,CLINICA PSIQUIATRICA SANTO ANTONIO DE PADUA
0002232,HOSPITAL SANTA ISABEL
0002275,HOSPITAL SAO JOSE
0002283,HOSPITAL DE CIRURGIA
0002372,HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO
0002534,HOSPITAL UNIVERSITARIO DE SERGIPE HUSE
0002585,HOSPITAL SAO LUCAS
0002593,CLINICA SANTA HELENA
0003085,CLINICA DE REPOUSO SAO MARCELLO LTDA
0003220,CATOP
0003417,FUNDACAO CLIMEDI
0003581,INSTITUTO DE OLHOS DR CRISTIANO MENDONCA
0003743,CASA DE SAUDE SANTA MARIA
0003778,HOSPITAL ESTADUAL DA MULHER
0003786,HOSPITAL ARISTIDES MALTEZ
0003794,INSTITUTO DE PERINATOLOGIA DA BAHIA
0003808,HOSPITAL SAO RAFAEL
0003816,HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS
0003832,HOSPITAL SANTA ISABEL
0003840,MATERNIDADE ALBERT SABIN
0003859,HOSPITAL GERAL ROBERTO SANTOS
0003875,HOSPITAL ANA NERY
0003921,CICAN
0003972,CENTRO DE PARTO HUMANIZADO JOAO BATISTA CARIBE
0003980,HOSPITAL ELADIO LASSERRE
0004057,HOSPITAL ESPANHOL
0004065,HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA
0004073,HOSPITAL GERAL ERNESTO SIMOES FILHO
0004081,MATERNIDADE MARIA DA CONCEICAO DE JESUS
0004103,CLINICA SAO BERNARDO
0004170,MATERNIDADE TSYLLA BALBINO
0004251,HOSPITAL PORTUGUES
0004278,HOSPITAL MARTAGAO GESTEIRA
0004286,HOSPITAL JULIANO MOREIRA
0004294,HOSPITAL GERAL DO ESTADO
0004472,SANATORIO SAO PAULO
0004502,INSBOT BARBALHO
0004731,MATERNIDADE CLIMERIO DE OLIVEIRA
0004960,HOSPITAL SANTA LUZIA
0004979,HOSPITAL EVANGELICO DA BAHIA HEB
0004987,HOSPITAL PROFESSOR CARVALHO LUZ
0005134,CLINICA DE UROLOGIA MODESTO JACOBINO
0005355,CATO VITORIA
0005428,INSTITUTO COUTO MAIA
0005436,HOSPITAL ESPECIALIZADO MARIO LEAL
0005932,CLINICA OFTALMOLOGICA URBANO SAMPAIO FILHO
0006157,HOSPITAL HUMBERTO CASTRO LIMA
0006564,UNIDADE MISTA DR JOSE CARNEIRO DE CAMPOS
0006688,CDTO
0007471,PRONTO SOCORRO PEDIATRICO
0007641,ABSJ
0007684,HOSPITAL MAGALHAES
0007714,CLINICA DE ACIDENT SAO FRANCISCO
0007900,MATERNIDADE DO POVO DE CASTANHAL
0008028,HOSPITAL MUNICIPAL ANTONIO GIGLIO
0008036,HOSPITAL MATERNIDADE AMADOR AGUIAR
0008052,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO
0008087,PRONTO SOCORRO CONRADO CESARINO NUVOLINI
0008141,PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA
0008478,LAR BUSSOCABA ASSISTENCIA VICENTINA
0008494,UPA BANGU
