CNES,"BARBALHA, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","HORIZONTE, CE","IBICUITINGA, CE","IGUATU, CE","ITAPIPOCA, CE","ITAREMA, CE","JUAZEIRO DO NORTE, CE","JUCAS, CE","LIMOEIRO DO NORTE, CE","MARANGUAPE, CE","MISSAO VELHA, CE","MORADA NOVA, CE","PACATUBA, CE","PENTECOSTE, CE","QUIXADA, CE","QUIXERE, CE","SAO BENEDITO, CE","SOBRAL, CE","TAMBORIL, CE","TAUA, CE","TRAIRI, CE","VICOSA DO CEARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,1,27,2,2,0,2,0,0,2,1,1,0,1,0,2,1,0,0,1,0,0,0,0
HOSP MATERN MUNICIPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
HOSPITAL HAROLDO JUACABA,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR BUENO BANHOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SOPRAFA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
