CNES,"AQUIRAZ, CE","ARACATI, CE","BARBALHA, CE","BOA VIAGEM, CE","CAMOCIM, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","ITAPAGE, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARANGUAPE, CE","MORADA NOVA, CE","MORRINHOS, CE","OROS, CE","RUSSAS, CE","SOBRAL, CE","URUBURETAMA, CE","VICOSA DO CEARA, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,1,0,0,1,0,1,3,19,1,0,0,2,0,1,0,0,0,1,2,3
HOSP MATERN LUZIA T DA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SANTA CASA DE MORADA NOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
