CNES,"ALCANTARAS, CE","CASCAVEL, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","HIDROLANDIA, CE","IBIAPINA, CE","IGUATU, CE","IRACEMA, CE","IRAUCUBA, CE","JAGUARETAMA, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MILHA, CE","NOVA RUSSAS, CE","PACOTI, CE","QUIXADA, CE","REDENCAO, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE","TIANGUA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,2,0,37,1,0,0,1,1,2,2,0,2,1,0,1,2,0,1,0,1
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
