CNES,"ARATUBA, CE","BATURITE, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","CRATEUS, CE","EUSEBIO, CE","FORTALEZA, CE","ICAPUI, CE","IGUATU, CE","ITAITINGA, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MAURITI, CE","MORADA NOVA, CE","OROS, CE","PEDRA BRANCA, CE","RUSSAS, CE","SANTA QUITERIA, CE","VICOSA DO CEARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,2,1,0,1,15,2,0,1,1,1,1,1,1,0,0,0,0,0
HOSP MATERN MUNICIPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSP MATERN SANTA IZABEL ARACOIABA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL CURA DARS,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL E MATERNIDADE DIVINA PROVIDENCIA DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
