CNES,"AQUIRAZ, CE","ARACATI, CE","CARIDADE, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","ITAPIPOCA, CE","MARACANAU, CE","MARANGUAPE, CE","MARCO, CE","MERUOCA, CE","PENTECOSTE, CE","QUIXADA, CE","QUIXELO, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,0,1,2,42,0,0,0,2,2,0,2,1,2,1,2,0,1
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
