CNES,"ALTO SANTO, CE","AQUIRAZ, CE","AURORA, CE","BATURITE, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CASCAVEL, CE","CRATEUS, CE","CRATO, CE","FORTALEZA, CE","GUAIUBA, CE","GUARACIABA DO NORTE, CE","JAGUARETAMA, CE","MARACANAU, CE","MARANGUAPE, CE","NOVA RUSSAS, CE","PACAJUS, CE","PEDRA BRANCA, CE","QUIXADA, CE","QUIXERAMOBIM, CE","SAO GONCALO DO AMARANTE, CE","TAUA, CE","VICOSA DO CEARA, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,1,0,2,0,0,0,1,5,1,1,2,2,1,0,0,1,0,3,0,1,0
HOSPITAL E MAT VENANCIO RAIM DE SOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMTAVI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
