CNES,"ACARAU, CE","AQUIRAZ, CE","BELA CRUZ, CE","CANINDE, CE","CARIRE, CE","CAUCAIA, CE","CRATEUS, CE","CRATO, CE","FORTALEZA, CE","ICO, CE","IGUATU, CE","JAGUARETAMA, CE","MARACANAU, CE","MARANGUAPE, CE","PACATUBA, CE","PARAMBU, CE","PENTECOSTE, CE","QUIXELO, CE","QUIXERAMOBIM, CE","REDENCAO, CE","RUSSAS, CE","SANTA QUITERIA, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,2,3,0,0,1,0,26,0,1,0,0,0,1,0,1,0,2,0,0,0,0
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSP PUBLICO MUNICIPAL S QUITERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CARIRE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL NORTE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
