CNES,"ACARAU, CE","APUIARES, CE","BARBALHA, CE","BATURITE, CE","BEBERIBE, CE","BELA CRUZ, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CAMPOS SALES, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","EUSEBIO, CE","FARIAS BRITO, CE","FORTALEZA, CE","FRECHEIRINHA, CE","GRANJA, CE","IPAPORANGA, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MOMBACA, CE","MONSENHOR TABOSA, CE","MORADA NOVA, CE","PACAJUS, CE","POTENGI, CE","QUIXELO, CE","QUIXERE, CE","RUSSAS, CE","SAO BENEDITO, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","TIANGUA, CE"
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,2,0,2,0,0,0,2,2,1,0,26,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNIC DE QUIXELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DEPUTADO MURILO AGUIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA ANTONIO BEZERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
