CNES,"ASSARE, CE","BARBALHA, CE","BATURITE, CE","CAMOCIM, CE","CASCAVEL, CE","FORTALEZA, CE","IGUATU, CE","IRAUCUBA, CE","ITAITINGA, CE","ITAPIPOCA, CE","ITATIRA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","NOVA OLINDA, CE","PACATUBA, CE","PALHANO, CE","PARAIPABA, CE","PENTECOSTE, CE","RUSSAS, CE","SOBRAL, CE","TAUA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,2,1,1,8,1,0,0,2,1,2,0,0,0,2,0,0,0,0,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSP MUNIC NOSSA SENHORA DAS DORES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP OTACILIO BARBOSA DOS SANTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTO PRAXIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE FORTALEZA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
