CNES,"ABAIARA, CE","ACOPIARA, CE","ASSARE, CE","BARBALHA, CE","BARRO, CE","BOA VIAGEM, CE","CARIRIACU, CE","CAUCAIA, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","ICO, CE","IPU, CE","ITAPIUNA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","JUCAS, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MAURITI, CE","MISSAO VELHA, CE","MORADA NOVA, CE","MOSSORO, RN","NOVO ORIENTE, CE","PENTECOSTE, CE","POTENGI, CE","QUIXADA, CE","RUSSAS, CE","SAO BENEDITO, CE","SAO GONCALO DO AMARANTE, CE","SOLONOPOLE, CE","TARRAFAS, CE","TAUA, CE","VARZEA ALEGRE, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,0,0,0,1,0,2,0,1,10,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,2,0,0,2,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DO CORACAO DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
HOSPITAL ESTADUAL LEONARDO DA VINCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MUNICIPAL DE ACOPIARA PADRE CRISARES SAMPAIO COUTO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOPRAFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
