CNES,"ACOPIARA, CE","AQUIRAZ, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","HIDROLANDIA, CE","HORIZONTE, CE","IGUATU, CE","IPUEIRAS, CE","ITAPIPOCA, CE","JAGUARIBARA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MOMBACA, CE","PEDRA BRANCA, CE","PIRES FERREIRA, CE","QUIXELO, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SENADOR POMPEU, CE","SOBRAL, CE","UBAJARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,17,0,0,0,1,0,1,2,0,0,0,2,0,1,0,1,2,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
HOSPITAL MATERNIDADE DR LUIZ DE GONZAGA FONSECA MOTA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
