CNES,"ARATUBA, CE","CASCAVEL, CE","CAUCAIA, CE","CHOROZINHO, CE","EUSEBIO, CE","FORTALEZA, CE","GRANJA, CE","GUAIUBA, CE","ITAITINGA, CE","JAGUARIBARA, CE","JAGUARIBE, CE","JAGUARUANA, CE","MARACANAU, CE","NOVA RUSSAS, CE","PEDRA BRANCA, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","TAMBORIL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,2,0,1,24,0,0,1,0,1,0,0,0,0,0,1,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
