CNES,"BARBALHA, CE","BARREIRA, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","ITAREMA, CE","MARACANAU, CE","MOMBACA, CE","QUIXADA, CE","SAO BENEDITO, CE","TAMBORIL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,2,2,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,3,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,1,0,18,0,2,0,4,0,0
HOSPITAL CURA DARS,0,0,0,0,3,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR BUENO BANHOS,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL REGIONAL NORTE,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,3,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,1,0,0,0,0,0
