CNES,"ARNEIROZ, CE","BARBALHA, CE","BOA VIAGEM, CE","CANINDE, CE","CARIRIACU, CE","CEDRO, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","IBIAPINA, CE","IGUATU, CE","ITAPIPOCA, CE","ITATIRA, CE","MARACANAU, CE","PEDRA BRANCA, CE","SAO BENEDITO, CE","SOBRAL, CE","TAMBORIL, CE","VARZEA ALEGRE, CE","VICOSA DO CEARA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
HGF HOSPITAL GERAL DE FORTALEZA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,2,0,0,0,0,16,0,0,2,0,0,2,0,0,0,0,0
HOSP MATERN MUNICIPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR BUENO BANHOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
