CNES,"CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","GUARACIABA DO NORTE, CE","ICO, CE","MARACANAU, CE","MARANGUAPE, CE","MORADA NOVA, CE","PINDORETAMA, CE","PORANGA, CE","RUSSAS, CE","SOLONOPOLE, CE","TAMBORIL, CE","TRAIRI, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,1,0,2,0,0,0,0,0,0,0,0,1,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,0,22,0,2,2,0,0,2,0,1,0,0,1
HOSP MUNIC FRANC ANTONIO DE PINHO,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO JOSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,2,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL REGIONAL NORTE,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0
