CNES,"BATURITE, CE","CASCAVEL, CE","FORTALEZA, CE","IPUEIRAS, CE","ITAPAGE, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,1,0,0,0,0,0,0,0,0
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,0,0,0,0,0,1,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,2,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,1,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,16,0,2,0,0,0,0,2,0
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,5,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,3
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,2,1,0,0,0,0,0,0,0
