CNES,"ACARAU, CE","APUIARES, CE","BOA VIAGEM, CE","CAMOCIM, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","ICO, CE","JAGUARIBE, CE","JAGUARUANA, CE","JIJOCA DE JERICOACOARA, CE","JUCAS, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MORAUJO, CE","MUCAMBO, CE","QUIXERAMOBIM, CE","SOBRAL, CE","SOLONOPOLE, CE","TAMBORIL, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,0,4,0,17,1,2,0,0,0,0,1,0,0,0,0,0,1
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL CURA DARS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DEPUTADO MURILO AGUIAR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
