CNES,"ALTO SANTO, CE","BAIXIO, CE","BODOCO, PE","CANINDE, CE","COREAU, CE","FORTALEZA, CE","GUAIUBA, CE","GUARACIABA DO NORTE, CE","ITATIRA, CE","MARACANAU, CE","PACATUBA, CE","PEDRA BRANCA, CE","RUSSAS, CE","SALITRE, CE","SANTANA DO ACARAU, CE","SOLONOPOLE, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,2,0,0,25,1,2,1,1,1,0,0,0,0,1
HOSPITAL CURA DARS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL DE PEQUENO PORTE SAO FRANCISCO SALITRE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
