CNES,"ALTO SANTO, CE","BAIXIO, CE","BARBALHA, CE","BEBERIBE, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","ITAICABA, CE","ITAPIPOCA, CE","MARACANAU, CE","OCARA, CE","PARACURU, CE","PENAFORTE, CE","QUIXADA, CE","RERIUTABA, CE","RUSSAS, CE","SOBRAL, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,0,0,1,2,11,1,0,0,0,2,0,2,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMTAVI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
