CNES,"ANTONINA DO NORTE, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CANINDE, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","ICO, CE","IGUATU, CE","ITAITINGA, CE","JAGUARUANA, CE","JARDIM, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MISSAO VELHA, CE","MUCAMBO, CE","OCARA, CE","PEDRA BRANCA, CE","QUITERIANOPOLIS, CE","SANTANA DO ACARAU, CE","SOLONOPOLE, CE","TABULEIRO DO NORTE, CE"
CASA DE SAUDE ADILIA MARIA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,1,2,0,19,1,0,2,1,0,0,2,0,0,1,2,0,0,3,2
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IMTAVI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
