CNES,"BAIXIO, CE","BEBERIBE, CE","BOA VIAGEM, CE","BREJO SANTO, CE","FORTALEZA, CE","IGUATU, CE","ITAITINGA, CE","ITAPIUNA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MERUOCA, CE","RUSSAS, CE","SANTA QUITERIA, CE","SAO LUIS DO CURU, CE","SOBRAL, CE","TAMBORIL, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,0,0,9,0,0,2,0,0,2,0,0,0,0,1,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
