CNES,"AQUIRAZ, CE","BEBERIBE, CE","BELA CRUZ, CE","BOA VIAGEM, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","ITAITINGA, CE","ITAPAGE, CE","JAGUARUANA, CE","LIMOEIRO DO NORTE, CE","MOMBACA, CE","MORADA NOVA, CE","MUCAMBO, CE","PARACURU, CE","PEDRA BRANCA, CE","QUIXADA, CE","RUSSAS, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HIAS HOSPITAL INFANTIL ALBERT SABIN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,2,0,15,2,1,0,1,2,2,0,2,3,1,0,0,0
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
