CNES,"AIUABA, CE","BATURITE, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","IGUATU, CE","IPUEIRAS, CE","ITAPAGE, CE","JAGUARUANA, CE","JUCAS, CE","MARACANAU, CE","MOMBACA, CE","MORADA NOVA, CE","PINDORETAMA, CE","RUSSAS, CE","SOBRAL, CE","TRAIRI, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,2,1,29,0,0,1,0,0,2,0,1,2,0,0,1
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSP MATERN OTACILIO MOTA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA ANTONIO BEZERRA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
