CNES,"AQUIRAZ, CE","BARBALHA, CE","BARRO, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","GRANJA, CE","HORIZONTE, CE","ITAPAGE, CE","ITAPIPOCA, CE","JAGUARUANA, CE","MARACANAU, CE","MARANGUAPE, CE","PARAMBU, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SAO LUIS DO CURU, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","VICOSA DO CEARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,0,0,0,0,23,0,1,0,0,0,1,0,0,2,3,2,0,2,0
HOSP MATERN MUNICIPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
