CNES,"ALTO SANTO, CE","ASSARE, CE","BATURITE, CE","BEBERIBE, CE","BREJO SANTO, CE","CAMPOS SALES, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","HORIZONTE, CE","ITAPIPOCA, CE","JAGUARETAMA, CE","MARACANAU, CE","MARANGUAPE, CE","MAURITI, CE","MULUNGU, CE","NOVA OLINDA, CE","QUIXERE, CE","RUSSAS, CE","TEJUCUOCA, CE","TURURU, CE","UBERABA, MG"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,1,1,0,2,3,14,1,1,0,1,0,0,0,0,1,0,1,1,0
HOSP MATERN WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL DE PEQUENO PORTE ANA ALENCAR ALVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
