CNES,"BAIXIO, CE","BANABUIU, CE","BARBALHA, CE","BOA VIAGEM, CE","CAMOCIM, CE","CAMPOS SALES, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","ITAPAGE, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MOMBACA, CE","MORADA NOVA, CE","MORRINHOS, CE","NOVA RUSSAS, CE","PENTECOSTE, CE","RUSSAS, CE","SAO BENEDITO, CE","TIANGUA, CE","UMIRIM, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,0,0,0,0,2,1,19,2,0,0,2,0,0,2,1,0,1,0,0,1,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
