CNES,"ARACOIABA, CE","BARBALHA, CE","BOA VIAGEM, CE","CANINDE, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","FRECHEIRINHA, CE","IGUATU, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JARDIM, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARTINOPOLE, CE","QUIXADA, CE","RUSSAS, CE","SOBRAL, CE","TAUA, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HIAS HOSPITAL INFANTIL ALBERT SABIN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,2,2,0,16,0,2,2,0,0,0,0,0,1,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
