CNES,"ACARAU, CE","ARACATI, CE","AURORA, SC","BOA VIAGEM, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","IPUEIRAS, CE","JAGUARUANA, CE","MARACANAU, CE","MARANGUAPE, CE","MERUOCA, CE","MULUNGU, CE","PINDORETAMA, CE","RUSSAS, CE","TEJUCUOCA, CE","TIANGUA, CE","VALPARAISO DE GOIAS, GO"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,1,0,1,4,27,2,0,0,1,1,2,2,1,1,1,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
