CNES,"AQUIRAZ, CE","BARRO, CE","CAUCAIA, CE","CRATO, CE","CROATA, CE","FARIAS BRITO, CE","FORTALEZA, CE","IGUATU, CE","IRACEMA, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MOMBACA, CE","NOVA RUSSAS, CE","QUIXADA, CE","RUSSAS, CE","SANTA QUITERIA, CE","TAMBORIL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,0,0,0,21,0,1,2,0,1,2,1,0,2,1,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNIC SANTO ANTONIO,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
