CNES,"AQUIRAZ, CE","BANABUIU, CE","BARBALHA, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","IPU, CE","IRAUCUBA, CE","JAGUARETAMA, CE","JUAZEIRO DO NORTE, CE","LAVRAS DA MANGABEIRA, CE","MARANGUAPE, CE","MORADA NOVA, CE","MOSSORO, RN","PACATUBA, CE","PARACURU, CE","PENTECOSTE, CE","QUIXADA, CE","REDENCAO, CE","RUSSAS, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,3,25,1,0,0,3,0,0,0,2,1,0,2,0,1,1,1
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
