CNES,"BREJO SANTO, CE","CAUCAIA, CE","CRATEUS, CE","CRATO, CE","FORTALEZA, CE","IGUATU, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARCO, CE","MOMBACA, CE","MORADA NOVA, CE","PACATUBA, CE","PEDRA BRANCA, CE","QUIXELO, CE","QUIXERE, CE","REDENCAO, CE","TAUA, CE","TIANGUA, CE","VARZEA ALEGRE, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,4,0,0,28,2,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JAIME OSTERNO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
IMTAVI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
