CNES,"BARREIRA, CE","BARRO, CE","BOA VIAGEM, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","LIMOEIRO DO NORTE, CE","MORADA NOVA, CE","PACATUBA, CE","PACUJA, CE","PINDORETAMA, CE","RUSSAS, CE","SANTANA DO ACARAU, CE","SAO GONCALO DO AMARANTE, CE","SAO JOAO DO JAGUARIBE, CE","SOBRAL, CE","TAUA, CE","VARZEA ALEGRE, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,0,0,0,25,0,0,1,3,0,2,0,0,1,1,0,0,2
HOSP MUNIC SANTO ANTONIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SENADOR OZIRES PONTES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
