CNES,"AMONTADA, CE","ARACATI, CE","ARACOIABA, CE","BARBALHA, CE","CAPISTRANO, CE","CRATEUS, CE","FORTALEZA, CE","IGUATU, CE","INDEPENDENCIA, CE","IRACEMA, CE","JAGUARETAMA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MASSAPE, CE","MORADA NOVA, CE","NOVA RUSSAS, CE","PACATUBA, CE","PENTECOSTE, CE","PINDORETAMA, CE","RUSSAS, CE","SAO LUIS DO CURU, CE","SOBRAL, CE","TAUA, CE","UBAJARA, CE","UMIRIM, CE"
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,1,2,0,0,0,39,2,1,0,1,0,1,0,2,0,3,0,1,0,1,0,0,0,2
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL FRANCISCA BELARMINO DA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL SAO LUCAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
