CNES,"BARBALHA, CE","BOA VIAGEM, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","GRACA, CE","ICO, CE","JAGUARETAMA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARCO, CE","POTIRETAMA, CE","QUIXERAMOBIM, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,2,0,19,0,0,0,0,0,0,0,1,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,0,0,1,0,0,0,0,3,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,1,0,0,4
