CNES,"BARBALHA, CE","BOA VIAGEM, CE","CAUCAIA, CE","FORTALEZA, CE","IBIAPINA, CE","ICO, CE","IPU, CE","JUAZEIRO DO NORTE, CE","MISSAO VELHA, CE","MUCAMBO, CE","NOVA RUSSAS, CE","RUSSAS, CE","SOBRAL, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE ADILIA MARIA,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,7,0,0,0,0,0,0,0,2,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA ANTONIO BEZERRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,5,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,3,1,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,1,0,0,0,0,0,0,0,1,0
