CNES,"AQUIRAZ, CE","ASSARE, CE","BARBALHA, CE","BELA CRUZ, CE","CAMPOS SALES, CE","CAUCAIA, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","GRACA, CE","GUAIUBA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MARCO, CE","MILAGRES, CE","PARACURU, CE","QUIXELO, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SANTA QUITERIA, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,2,0,0,0,1,0,2,24,0,2,0,2,0,0,0,2,1,1,2,0,0,1
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
