CNES,"ACARAU, CE","AURORA, CE","BARBALHA, CE","CAMPOS SALES, CE","CAPISTRANO, CE","CARIRIACU, CE","CASCAVEL, CE","FORTALEZA, CE","FORTIM, CE","GUAIUBA, CE","IGUATU, CE","ITAITINGA, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JIJOCA DE JERICOACOARA, CE","MARANGUAPE, CE","MILAGRES, CE","PACATUBA, CE","PARACURU, CE","PEREIRO, CE","QUIXADA, CE","RUSSAS, CE","SENADOR POMPEU, CE","SOBRAL, CE","TAUA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,0,0,0,0,0,2,12,0,1,0,0,0,0,0,2,0,0,2,0,2,1,0,0,1
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL HUMBERTO DE QUEIROZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTO PRAXIS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERNIDADE E HOSPITAL SANTA ISABEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
