CNES,"AQUIRAZ, CE","BANABUIU, CE","BARREIRA, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CAUCAIA, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","GRACA, CE","HIDROLANDIA, CE","IGUATU, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARANGUAPE, CE","MILAGRES, CE","MILHA, CE","PACATUBA, CE","PARACURU, CE","QUIXADA, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SOLONOPOLE, CE","TABULEIRO DO NORTE, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,0,1,0,0,2,0,2,24,0,0,0,0,2,0,0,2,1,1,0,2,1,0,0,0
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE DR LUIZ DE GONZAGA FONSECA MOTA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DR PONTES NETO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
