CNES,"ABAIARA, CE","ACARAU, CE","BATURITE, CE","BREJO SANTO, CE","CANINDE, CE","CARIDADE, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","FORTIM, CE","HORIZONTE, CE","ICO, CE","IGUATU, CE","ITAPIPOCA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MADALENA, CE","MARACANAU, CE","MARCO, CE","MOMBACA, CE","MORADA NOVA, CE","NOVO ORIENTE, CE","PACATUBA, CE","PARAMBU, CE","REDENCAO, CE","RUSSAS, CE","SANTA QUITERIA, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","TAUA, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,0,2,0,4,1,16,1,2,2,0,0,0,0,1,4,0,1,1,1,4,2,2,0,1,2,1,0,0,0
HOSP DR MOURA FERREIRA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP GERAL LUIZA ALCANTARA SILVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DE PEQUENO PORTE DE CARIDADE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JAIME OSTERNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
