CNES,"CRATEUS, CE","FORTALEZA, CE","IRACEMA, CE","ITATIRA, CE","JAGUARIBE, CE","MARACANAU, CE","MARTINOPOLE, CE","PEDRA BRANCA, CE","QUIXERE, CE","RUSSAS, CE","TABULEIRO DO NORTE, CE","TAUA, CE"
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,8,0,0,1,2,0,1,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL SAO LUCAS,2,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,1,0,0,0,0,0,0,0,0,0,0
