CNES,"ARACATI, CE","BARBALHA, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CASCAVEL, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","JAGUARIBE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MONSENHOR TABOSA, CE","PACAJUS, CE","QUIXADA, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SOLONOPOLE, CE","VARJOTA, CE","VICOSA DO CEARA, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,1,1,0,6,1,0,0,1,0,1,0,0,0,1,0,1
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
