CNES,"BARBALHA, CE","BEBERIBE, CE","CAUCAIA, CE","FORTALEZA, CE","HIDROLANDIA, CE","IGUATU, CE","ITAITINGA, CE","JAGUARUANA, CE","PACAJUS, CE","PARACURU, CE","QUIXADA, CE","QUIXELO, CE","REDENCAO, CE","RUSSAS, CE","SAO PAULO, SP","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,14,1,0,1,0,2,0,1,0,0,0,1,0
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSP MUNIC DE QUIXELO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
