CNES,"BARBALHA, CE","CASCAVEL, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","HORIZONTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MERUOCA, CE","PACAJUS, CE","RUSSAS, CE","SAO BENEDITO, CE","SOBRAL, CE","UBAJARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,4,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,3,0,6,1,0,1,0,1,0,0,0,1
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HOSPITAL CHAGAS BARRETO,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR BUENO BANHOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,1,0,0,0,0,0,0,0,0,1,0
