CNES,"ACARAU, CE","APUIARES, CE","BOA VIAGEM, CE","CAUCAIA, CE","FORTALEZA, CE","JAGUARIBE, CE","JIJOCA DE JERICOACOARA, CE","JUCAS, CE","LIMOEIRO DO NORTE, CE","MUCAMBO, CE","SOBRAL, CE","SOLONOPOLE, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,2,0,0,1,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,1,1,0,0,1,0,0,0,0,0,0,1
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,2,7,1,0,0,0,0,0,0
HOSP MUNIC DR DEOCLECIO LIMA VERDE,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL CURA DARS,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,1,0,0,0,2,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,1,0,0,0,0,0,0
