CNES,"APUIARES, CE","CAUCAIA, CE","FORTALEZA, CE","GROAIRAS, CE","HIDROLANDIA, CE","ICAPUI, CE","IGUATU, CE","JARDIM, CE","MARANGUAPE, CE","MISSAO VELHA, CE","PACAJUS, CE","RUSSAS, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,1,0,0,1,1,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,1,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,4,0,0,0,0,0,1,0,1,0,1
HOSP MATERN JOAQUIM GUIMARAES,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,3,0
HOSPITAL HAROLDO JUACABA,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,1,0,2,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,4,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,1,0,0,0,0,0,0,0,0
