CNES,"CARIRIACU, CE","CASCAVEL, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","IBIAPINA, CE","IGUATU, CE","ITAPIPOCA, CE","MARACANAU, CE","MASSAPE, CE","PACATUBA, CE","PEDRA BRANCA, CE","RUSSAS, CE","TAMBORIL, CE","TEJUCUOCA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,2,14,0,0,1,0,0,0,1,0,0,1
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
