CNES,"ALTO SANTO, CE","APUIARES, CE","BOA VIAGEM, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","GUARAMIRANGA, CE","HORIZONTE, CE","ICAPUI, CE","IGUATU, CE","ITAITINGA, CE","MORAUJO, CE","PENTECOSTE, CE","REDENCAO, CE","SANTANA DO ACARAU, CE","TRAIRI, CE","UMIRIM, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,4,9,1,0,1,1,1,0,0,0,0,1,1
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
