CNES,"BATURITE, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","IPUEIRAS, CE","JUCAS, CE","MARACANAU, CE","MOMBACA, CE","PINDORETAMA, CE","RUSSAS, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,1,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,2,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,11,0,0,0,1,0,1,0,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,1,0,0,0
HOSP MATERN OTACILIO MOTA,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,4,0
HOSPITAL HAROLDO JUACABA,0,0,1,1,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,1,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,1
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,1
