CNES,"BOA VIAGEM, CE","CASCAVEL, CE","FORTALEZA, CE","GRANJA, CE","HIDROLANDIA, CE","IGUATU, CE","IRACEMA, CE","ITAITINGA, CE","MARACANAU, CE","MARANGUAPE, CE","MAURITI, CE","PACAJUS, CE","PACATUBA, CE","PEDRA BRANCA, CE","RUSSAS, CE"
CASA DE SAUDE ADILIA MARIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,9,0,0,0,1,0,2,0,0,0,0,1,0
HOSP MATERN DR VICENTE ARRUDA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
