CNES,"AQUIRAZ, CE","BARBALHA, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","GRANJA, CE","ITAPAGE, CE","ITAPIPOCA, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SAO LUIS DO CURU, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","VICOSA DO CEARA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,1,1,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,11,0,0,0,1,1,1,0,1,0
HOSP MATERN MUNICIPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,1,0,0,0,0,0,1,0,0
