CNES,"ACARAU, CE","AQUIRAZ, CE","BELA CRUZ, CE","CANINDE, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","ICO, CE","IGUATU, CE","JAGUARETAMA, CE","MARACANAU, CE","PACATUBA, CE","PENTECOSTE, CE","QUIXELO, CE","QUIXERAMOBIM, CE","REDENCAO, CE","RUSSAS, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,1,0,0,11,0,1,0,0,1,1,0,1,0,0,0
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL NORTE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
