CNES,"ALTO SANTO, CE","ASSARE, CE","BATURITE, CE","BEBERIBE, CE","CAMPOS SALES, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","ITAPIPOCA, CE","JAGUARETAMA, CE","MARACANAU, CE","NOVA OLINDA, CE","RUSSAS, CE","TURURU, CE","UBERABA, MG"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,1,0,1,1,5,0,0,1,0,0,1,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL DE PEQUENO PORTE ANA ALENCAR ALVES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
