CNES,"BANABUIU, CE","BOA VIAGEM, CE","CAMOCIM, CE","CAMPOS SALES, CE","CASCAVEL, CE","CAUCAIA, CE","FORTALEZA, CE","ITAPAGE, CE","MARACANAU, CE","MOMBACA, CE","MORADA NOVA, CE","RUSSAS, CE","SAO BENEDITO, CE","TIANGUA, CE","UMIRIM, CE"
CASA DE SAUDE ADILIA MARIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,0,1,0,8,1,1,0,1,0,0,1,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
