CNES,"AQUIRAZ, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","IGUATU, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","QUIXADA, CE","RUSSAS, CE","TAMBORIL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,1,0,2,0,0,0,1,1,0,0,1
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,9,0,1,0,0,1,1,1,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,3,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL HAROLDO JUACABA,0,0,0,2,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,1,0,0,0,0,0
