CNES,"ALCANTARAS, CE","AQUIRAZ, CE","BARBALHA, CE","BOA VIAGEM, CE","CARNAUBAL, CE","CAUCAIA, CE","COREAU, CE","CRATO, CE","FORTALEZA, CE","IGUATU, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","REDENCAO, CE","RUSSAS, CE","SANTA QUITERIA, CE","SOBRAL, CE","UBAJARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,0,0,1,0,0,13,0,0,1,0,1,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
