CNES,"ACARAU, CE","ARARIPE, CE","BARBALHA, CE","CAUCAIA, CE","FORTALEZA, CE","ICO, CE","ITAPIPOCA, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MILAGRES, CE","MILHA, CE","MOMBACA, CE","PACATUBA, CE"
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
HOSPITAL MUNICIPAL JOAO LEOPOLDO PINHEIRO LANDIM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
