CNES,"BARREIRA, CE","BARRO, CE","BOA VIAGEM, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","MORADA NOVA, CE","PACATUBA, CE","PACUJA, CE","PINDORETAMA, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE","TAUA, CE","VARZEA ALEGRE, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,10,0,1,1,0,1,0,1,0,0,1
HOSP MUNIC SANTO ANTONIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
