CNES,"ACOPIARA, CE","ARACATI, CE","CANINDE, CE","CASCAVEL, CE","CAUCAIA, CE","CHOROZINHO, CE","CRATEUS, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","JAGUARIBE, CE","MARACANAU, CE","MASSAPE, CE","MOMBACA, CE","NOVA OLINDA, CE","PENTECOSTE, CE","QUIXADA, CE","QUIXELO, CE","QUIXERAMOBIM, CE","REDENCAO, CE","SENADOR POMPEU, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,2,2,1,1,1,15,0,0,2,1,0,0,0,0,0,1,1,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DE PEQUENO PORTE ANA ALENCAR ALVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
MATERNIDADE E HOSPITAL SANTA ISABEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
