CNES,"ARACATI, CE","BARBALHA, CE","BREJO SANTO, CE","CARIUS, CE","CATUNDA, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JUCAS, CE","MOMBACA, CE","MORADA NOVA, CE","PARACURU, CE","PENTECOSTE, CE","PINDORETAMA, CE","RUSSAS, CE","SAO LUIS DO CURU, CE","TIANGUA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,0,2,0,8,0,0,1,1,0,1,0,1,0,0,0
HOSP DR THADEU DE PAULO BRITO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CATUNDA FRANCISCA GONCALVES DE OLIVEIR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MORADA NOVA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
