CNES,"ACOPIARA, CE","AQUIRAZ, CE","CARIRE, CE","CHOROZINHO, CE","EUSEBIO, CE","FORTALEZA, CE","FORTIM, CE","IRACEMA, CE","ITAPAGE, CE","JAGUARETAMA, CE","JARDIM, CE","JUAZEIRO DO NORTE, CE","MADALENA, CE","MILHA, CE","MOMBACA, CE","MORADA NOVA, CE","MORAUJO, CE","PACAJUS, CE","RUSSAS, CE","TIANGUA, CE","UBAJARA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,0,1,10,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
HOSP GERAL MANUEL ASSUNCAO PIRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CHOROZINHO,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE JARDIM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
INSTITUTO PRAXIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MORADA NOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
