CNES,"ARACOIABA, CE","BEBERIBE, CE","CASCAVEL, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","GENERAL SAMPAIO, CE","IGUATU, CE","IRACEMA, CE","ITAPIPOCA, CE","ITAREMA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MORADA NOVA, CE","PARACURU, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SALITRE, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE","TIANGUA, CE","UMARI, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,1,2,0,9,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,1
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
INSTITUTO PRAXIS,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
