CNES,"AQUIRAZ, CE","BEBERIBE, CE","CARNAUBAL, CE","CAUCAIA, CE","FORTALEZA, CE","ICO, CE","IPU, CE","ITAPIPOCA, CE","JAGUARIBE, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MASSAPE, CE","MORADA NOVA, CE","QUIXADA, CE","QUIXERAMOBIM, CE","REDENCAO, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SENADOR POMPEU, CE","TIANGUA, CE","URUBURETAMA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,1,1,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN PAULO SARASATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DR PONTES NETO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MATERNIDADE E HOSPITAL SANTA ISABEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SANTA CASA DE MORADA NOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
